Australia,21170,January,8.089044446,261712,,1990
Australia,20154,February,7.700831448,261712,,
Australia,22826,March,8.721801064,261712,,
Australia,21659,April,8.275891056,261712,,
Australia,22283,May,8.514321086,261712,,
Australia,21643,June,8.269777465,261712,,
Australia,22225,July,8.49215932,261712,,
Australia,22581,August,8.628186709,261712,,
Australia,22315,September,8.526548267,261712,,
Australia,23044,October,8.805098734,261712,,
Australia,20934,November,7.998868986,261712,,
Australia,20878,December,7.977471419,261712,,
Canada,32132,January,7.940316654,404669,,
Canada,30697,February,7.585705848,404669,,
Canada,35540,March,8.782486427,404669,,
Canada,35187,April,8.69525464,404669,,
Canada,36861,May,9.108926061,404669,,
Canada,34820,June,8.604563236,404669,,
Canada,35117,July,8.677956552,404669,,
Canada,34886,August,8.620872862,404669,,
Canada,34424,September,8.50670548,404669,,
Canada,33069,October,8.171863918,404669,,
Canada,30978,November,7.655145316,404669,,
Canada,30958,December,7.650203005,404669,,
Denmark,4930,January,7.771979884,63433,,
Denmark,4800,February,7.567039238,63433,,
Denmark,5488,March,8.651648196,63433,,
Denmark,5426,April,8.553907272,63433,,
Denmark,5545,May,8.741506787,63433,,
Denmark,5354,June,8.440401684,63433,,
Denmark,5878,July,9.266470134,63433,,
Denmark,5552,August,8.752542052,63433,,
Denmark,5509,September,8.684753992,63433,,
Denmark,5380,October,8.481389813,63433,,
Denmark,4771,November,7.52132171,63433,,
Denmark,4800,December,7.567039238,63433,,
Finland,5353,January,8.166409861,65549,,
Finland,5058,February,7.716364857,65549,,
Finland,5958,March,9.089383515,65549,,
Finland,5528,April,8.433385711,65549,,
Finland,5792,May,8.836137851,65549,,
Finland,5595,June,8.535599323,65549,,
Finland,5674,July,8.656119849,65549,,
Finland,5617,August,8.569162001,65549,,
Finland,5590,September,8.527971441,65549,,
Finland,5312,October,8.103861234,65549,,
Finland,5129,November,7.824680773,65549,,
Finland,4943,December,7.540923584,65549,,
Latvia,3204,January,8.449812754,37918,,
Latvia,3090,February,8.149163985,37918,,
Latvia,3415,March,9.006276702,37918,,
Latvia,3207,April,8.457724564,37918,,
Latvia,3470,May,9.151326547,37918,,
Latvia,3363,June,8.869138668,37918,,
Latvia,3380,July,8.913972256,37918,,
Latvia,3108,August,8.196634844,37918,,
Latvia,2949,September,7.77730893,37918,,
Latvia,2835,October,7.476660161,37918,,
Latvia,2837,November,7.481934701,37918,,
Latvia,3060,December,8.070045888,37918,,
Norway,5118,January,8.398562497,60939,,
Norway,5012,February,8.224618061,60939,,
Norway,5516,March,9.051674625,60939,,
Norway,5436,April,8.920395806,60939,,
Norway,5275,May,8.656197181,60939,,
Norway,5111,June,8.3870756,60939,,
Norway,5132,July,8.42153629,60939,,
Norway,5174,August,8.490457671,60939,,
Norway,4939,September,8.104826138,60939,,
Norway,4842,October,7.945650569,60939,,
Norway,4668,November,7.660119136,60939,,
Norway,4716,December,7.738886427,60939,,
Slovakia,6801,January,8.502419083,79989,,
Slovakia,6130,February,7.663553739,79989,,
Slovakia,6822,March,8.528672692,79989,,
Slovakia,6674,April,8.343647251,79989,,
Slovakia,6766,May,8.458663066,79989,,
Slovakia,6703,June,8.379902237,79989,,
Slovakia,7084,July,8.85621773,79989,,
Slovakia,6929,August,8.662441086,79989,,
Slovakia,6813,September,8.517421145,79989,,
Slovakia,6651,October,8.314893298,79989,,
Slovakia,6284,November,7.856080211,79989,,
Slovakia,6332,December,7.916088462,79989,,
Sweden,10207,January,8.235569398,123938,,
Sweden,10194,February,8.225080282,123938,,
Sweden,11594,March,9.354677339,123938,,
Sweden,11380,April,9.18201036,123938,,
Sweden,11127,May,8.977876035,123938,,
Sweden,10496,June,8.468750504,123938,,
Sweden,10663,July,8.603495296,123938,,
Sweden,10436,August,8.420339202,123938,,
Sweden,10274,September,8.289628685,123938,,
Sweden,9836,October,7.936226178,123938,,
Sweden,8768,November,7.074504994,123938,,
Sweden,8963,December,7.231841727,123938,,
Switzerland,6906,January,8.227403233,83939,,
Switzerland,6506,February,7.750866701,83939,,
Switzerland,7240,March,8.625311238,83939,,
Switzerland,6958,April,8.289352983,83939,,
Switzerland,7312,May,8.711087814,83939,,
Switzerland,6987,June,8.323901881,83939,,
Switzerland,7361,July,8.769463539,83939,,
Switzerland,7067,August,8.419209188,83939,,
Switzerland,7237,September,8.621737214,83939,,
Switzerland,6956,October,8.2869703,83939,,
Switzerland,6647,November,7.918845829,83939,,
Switzerland,6762,December,8.055850082,83939,,
United States of America,330000,January,7.896625987,4179000,,
United States of America,316000,February,7.561617612,4179000,,
United States of America,342000,March,8.183776023,4179000,,
United States of America,330000,April,7.896625987,4179000,,
United States of America,368000,May,8.805934434,4179000,,
United States of America,361000,June,8.638430246,4179000,,
United States of America,364000,July,8.710217755,4179000,,
United States of America,362000,August,8.662359416,4179000,,
United States of America,362000,September,8.662359416,4179000,,
United States of America,361000,October,8.638430246,4179000,,
United States of America,333000,November,7.968413496,4179000,,
United States of America,350000,December,8.37520938,4179000,,
